Year,Round,Pick,Overall,Name,Team,Position,School,Rec.Yards,Rec.TD,Rec,CONF,P_five,Pos,RAS,AllTime
2021,2,17,49,Rondale Moore,CARDINALS,WR,Purdue,1258,12,114,B10,1,WR,9.33,9.33
2021,2,24,56,D\'Wayne Eskridge,SEAHAWKS,WR,Western Michigan,768,8,33,MAC,0,NA,NA,NA
2021,2,25,57,Tutu Atwell,RAMS,WR,Louisville,1276,12,70,ACC,1,WR,6.25,6.35
2021,2,27,59,Terrace Marshall,PANTHERS,WR,Louisiana State,731,10,48,NA,0,NA,NA,NA
2021,3,13,77,Josh Palmer,CHARGERS,WR,Tennessee,484,4,23,SEC,1,WR,7.59,7.73
2021,3,18,82,Dyami Brown,TEAM,WR,North Carolina,1099,8,55,ACC,1,WR,8.38,8.43
2021,3,21,85,Amari Rodgers,PACKERS,WR,Clemson,1020,7,77,ACC,1,WR,5.35,5.49
2021,3,25,89,Nico Collins,TEXANS,WR,Michigan,729,14,37,B10,1,WR,9.57,9.58
2021,3,27,91,Anthony Schwartz,BROWNS,WR,Auburn,636,3,54,SEC,1,WR,6.89,7.02
2021,4,4,109,Dez Fitzpatrick,TITANS,WR,Louisville,833,3,43,ACC,1,NA,NA,NA
2021,4,7,112,Amon-Ra St. Brown,LIONS,WR,USC,1042,12,77,P12,1,NA,NA,NA
2021,4,24,129,Jaelon Darden,BUCCANEERS,WR,North Texas,1190,19,74,CUSA,0,WR,7.14,7.19
2021,4,26,131,Tylan Wallace,RAVENS,WR,Oklahoma State,1491,12,86,B10,1,WR,4.71,4.79
2021,5,13,157,Ihmir Smith-Marsette,VIKINGS,WR,Iowa,722,10,44,B10,1,WR,6.8,6.92
2021,5,35,179,Simi Fehoko,COWBOYS,WR,Stanford,574,3,37,P12,1,WR,9.18,9.2
2021,5,37,181,Cornell Powell,CHIEFS,WR,Clemson,882,7,53,ACC,1,WR,7.57,7.7
2022,1,8,8,Drake London,FALCONS,WR,USC,1084,7,88,P12,1,NA,NA,NA
2022,1,10,10,Garrett Wilson,JETS,WR,Ohio State,1058,12,70,B10,1,WR,7.77,7.77
2022,1,11,11,Chris Olave,SAINTS,WR,Ohio State,936,13,65,B10,1,WR,8.64,8.64
2022,1,12,12,Jameson Williams ,LIONS,WR,Alabama,1572,15,79,SEC,1,NA,NA,NA
2022,1,15,16,Jahan Dotson,COMMANDERS,WR,Penn State,1182,12,91,B10,1,WR,6.33,6.33
2022,1,18,18,Treylon Burks,TITANS,WR,Arkansas,1104,11,66,SEC,1,WR,5.79,5.79
2022,2,2,34,Christian Watson,PACKERS,WR,NDSU,801,7,43,NP5,0,NA,NA,NA
2022,2,11,43,Wan'Dale Robinson,GIANTS,WR,Kentucky,1334,7,104,SEC,1,WR,7.36,7.36
2022,2,12,44,John Metchie III,TEXANS,WR,Alabama,1142,8,96,SEC,1,WR,NA,NA
2022,2,18,50,Tyquan Thornton,PATRIOTS,WR,Baylor,948,10,62,B12,1,WR,8.54,8.54
2022,2,20,52,George Pickens,STEELERS,WR,Georgia,727,8,49,SEC,1,WR,9.35,9.35
2022,2,21,53,Alec Pierce,COLTS,WR,Cincinnati,884,8,52,Amer,0,WR,9.83,9.83
2022,2,22,54,Skyy Moore,CHIEFS,WR,Western Michigan,1292,10,95,MAC,0,WR,7.58,7.58
2022,3,7,71,Velus Jones Jr,BEARS,WR,Tennessee,807,7,62,SEC,1,NA,NA,NA
2022,3,24,88,Jalen Tolbert,COWBOYS,WR,South Alabama,1474,8,82,SB,0,WR,8.62,8.62
2022,3,35,99,David Bell,BROWNS,WR,Purdue,1286,6,93,B10,1,WR,3.99,3.99
2022,3,41,105,Danny Gray,49ERS,WR,SMU,803,9,49,Amer,0,NA,NA,NA
2022,4,20,125,Erik Ezukanma,DOLPHINS,WR,Texas Tech,748,6,46,B12,1,WR,7.03,7.03
2022,4,27,132,Romeo Doubs,PACKERS,WR,Nevada,1109,11,80,MWC,0,WR,NA,NA
2022,4,32,137,Calvin Austin,STEELERS,WR,Memphis,1149,8,74,Amer,0,NA,NA,NA
2022,4,43,148,Khalil Shakir,BILLS,WR,Boise State,1117,7,77,NP5,0,WR,8.31,8.31
2022,5,19,162,Montrell Washington,BRONCOS,WR,Samford,813,9,60,SC,0,WR,4.32,4.32
2022,5,20,163,Kyle Phillips ,TITANS,WR,UCLA,739,10,59,P12,1,NA,NA,NA
